,Image,Accuracy,F1,Jaccard,Recall,Precision
237,11119,0.9804878234863281,0.8922999178826354,0.8055428832116789,0.9766316371681416,0.8213745784393535
238,11141,0.9849853515625,0.9150369123170573,0.8433806852095022,0.9854014598540146,0.854051658137567
239,11162,0.9962577819824219,0.9765966075816493,0.9542636020327288,0.9821968424588512,0.9710598728532118
240,11173,0.9959259033203125,0.9737398573887387,0.9488236139728784,0.9960261569416499,0.9524290524290524
241,11185,0.9943771362304688,0.9617321771639235,0.9262852570514103,0.9992986242244403,0.926887854676475
242,11192,0.9953231811523438,0.9661606403532983,0.9345365228534814,0.999314833847208,0.9351357127591365
243,11206,0.9918899536132812,0.9324521827540192,0.873452380952381,0.9983671247788815,0.8747019551740581
244,11218,0.9946556091308594,0.9441365285697196,0.8941842900302115,0.9979769029756386,0.8958081113801453
245,11219,0.9958152770996094,0.954761021073034,0.9134380178331887,0.9981031212277979,0.9150264801201486
246,11224,0.9962120056152344,0.9538246919321088,0.9117254867099298,0.999123234291281,0.9124555160142349
247,11231,0.9959945678710938,0.9404153898535921,0.8875321336760925,1.0,0.8875321336760925
248,11235,0.9959869384765625,0.932242689681824,0.8730848111955604,0.9997237187456831,0.8732955231084831
249,11240,0.9958343505859375,0.9140157480314961,0.8416473317865429,1.0,0.8416473317865429
250,11245,0.9953651428222656,0.8738186727593727,0.7759129472519366,1.0,0.7759129472519366
251,11261,1.0,1.0,0.0,1.0,1.0
252,11279,1.0,1.0,0.0,1.0,1.0
253,11291,1.0,1.0,0.0,1.0,1.0
254,11331,1.0,1.0,0.0,1.0,1.0
255,11333,1.0,1.0,0.0,1.0,1.0
256,11352,1.0,1.0,0.0,1.0,1.0
257,11379,1.0,1.0,0.0,1.0,1.0
258,11381,1.0,1.0,0.0,1.0,1.0
259,11383,1.0,1.0,0.0,1.0,1.0
260,11398,1.0,1.0,0.0,1.0,1.0
261,11402,1.0,1.0,0.0,1.0,1.0
262,11412,1.0,1.0,0.0,1.0,1.0
263,11421,1.0,1.0,0.0,1.0,1.0
264,11427,1.0,1.0,0.0,1.0,1.0
265,11430,1.0,1.0,0.0,1.0,1.0
266,11438,1.0,1.0,0.0,1.0,1.0
267,11440,1.0,1.0,0.0,1.0,1.0
268,11454,1.0,1.0,0.0,1.0,1.0
269,11462,0.9999656677246094,0.0,0.0,1.0,0.0
270,11465,1.0,1.0,0.0,1.0,1.0
271,11466,1.0,1.0,0.0,1.0,1.0
272,1148,1.0,1.0,0.0,1.0,1.0
273,11490,0.994232177734375,0.0,0.0,1.0,0.0
274,11499,0.9928016662597656,0.0,0.0,1.0,0.0
275,11504,0.9967422485351562,0.0,0.0,1.0,0.0
276,11505,0.99566650390625,0.0,0.0,1.0,0.0
277,11506,0.9960250854492188,0.0,0.0,1.0,0.0
278,1151,1.0,1.0,0.0,1.0,1.0
279,11522,0.9993934631347656,0.0,0.0,1.0,0.0
280,11526,1.0,1.0,0.0,1.0,1.0
281,11543,1.0,1.0,0.0,1.0,1.0
282,11546,0.9998931884765625,0.0,0.0,1.0,0.0
283,11565,0.9935379028320312,0.0,0.0,1.0,0.0
284,11567,0.9934425354003906,0.0,0.0,1.0,0.0
285,11571,0.9903793334960938,0.0,0.0,1.0,0.0
286,11582,0.9878311157226562,0.0,0.0,1.0,0.0
287,11586,0.9856414794921875,0.0,0.0,1.0,0.0
288,11591,0.9821662902832031,0.0,0.0,1.0,0.0
289,11598,0.9850997924804688,0.0,0.0,1.0,0.0
290,1160,1.0,1.0,0.0,1.0,1.0
291,11602,0.9825172424316406,0.0,0.0,1.0,0.0
292,11609,0.9795875549316406,0.0,0.0,1.0,0.0
293,11618,0.9766273498535156,0.0,0.0,1.0,0.0
294,11621,0.9782028198242188,0.0,0.0,1.0,0.0
295,11625,0.9807014465332031,0.0,0.0,1.0,0.0
296,11628,0.9798622131347656,0.0,0.0,1.0,0.0
297,1163,1.0,1.0,0.0,1.0,1.0
298,11634,0.9834823608398438,0.0,0.0,1.0,0.0
299,11649,0.9924354553222656,0.0,0.0,1.0,0.0
300,11683,0.9993667602539062,0.0,0.0,1.0,0.0
301,11711,0.9972801208496094,0.0,0.0,1.0,0.0
302,11717,0.9976768493652344,0.0,0.0,1.0,0.0
303,11729,0.9936943054199219,0.0,0.0,1.0,0.0
304,11733,0.9946861267089844,0.0,0.0,0.0,0.0
305,11734,0.9949455261230469,0.0,0.0,0.0,0.0
306,11737,0.9947586059570312,0.0,0.0,0.0,0.0
307,11742,0.9924659729003906,0.014962593516209474,0.007537688442211055,0.00967741935483871,0.03296703296703297
308,11746,0.9881515502929688,0.13961218836565098,0.07504466944609887,0.07882389740381608,0.6101694915254238
309,11748,0.9871749877929688,0.27946849549935704,0.16243148978574987,0.1643559364759264,0.932761087267525
310,1175,1.0,1.0,0.0,1.0,1.0
311,11756,0.9873275756835938,0.7182835820895522,0.5604075691411936,0.6097912167026638,0.8737363317515989
312,11758,0.9878883361816406,0.7734246770855634,0.6305562020013963,0.7049564199297516,0.8566234587417009
313,11763,0.9921951293945312,0.894121299937901,0.8085166120729995,0.9074579831932773,0.8811709506323949
314,11771,0.9929389953613281,0.9272148165624632,0.8643061359137894,0.9694926404078612,0.8884702336096458
315,11789,0.9963607788085938,0.9753666597810369,0.9519177460813467,0.9963599915594007,0.955239732955695
316,1179,1.0,1.0,0.0,1.0,1.0
317,11798,0.9977760314941406,0.9864428063158385,0.9732482907355573,0.9962891634177274,0.97678916827853
318,11807,0.9973907470703125,0.9851149025069638,0.9706664379449352,0.9968290319739276,0.9736728899595629
319,11812,0.9975204467773438,0.9861472230510208,0.9726730009249138,0.9976283903238325,0.974927310269268
320,11824,0.9976387023925781,0.987102823210751,0.97453408483153,0.9986509274873524,0.9758187435633368
321,11831,0.9975128173828125,0.9864087384307513,0.9731819677525502,0.99945085118067,0.9737026215070579
322,11849,0.9974822998046875,0.9860050890585241,0.972396486825596,0.9993552546744036,0.9730069052102951
323,1189,1.0,1.0,0.0,1.0,1.0
324,11891,0.9974708557128906,0.9841330621036257,0.9687617791179797,0.9989311567798669,0.9697670031129139
325,11899,0.9972610473632812,0.9819995988768553,0.9646357681130867,0.9993366670068374,0.9652538196155742
326,11910,0.9969215393066406,0.9779333351562715,0.9568195195034512,0.999720467378543,0.9570755726825091
327,11945,0.9964523315429688,0.9578116494284159,0.9190389135544529,1.0,0.9190389135544529
328,11958,0.9966278076171875,0.9438943894389439,0.89375,1.0,0.89375
329,11961,0.9965553283691406,0.9367248265713685,0.8809806247528668,1.0,0.8809806247528668
330,11965,0.9967498779296875,0.930392156862745,0.8698441796516957,1.0,0.8698441796516957
331,11970,0.9967498779296875,0.9129724208375894,0.8398797218567938,1.0,0.8398797218567938
332,1199,1.0,1.0,0.0,1.0,1.0
333,11997,1.0,1.0,0.0,1.0,1.0
334,12004,1.0,1.0,0.0,1.0,1.0
335,12021,1.0,1.0,0.0,1.0,1.0
336,12026,1.0,1.0,0.0,1.0,1.0
337,1203,1.0,1.0,0.0,1.0,1.0
338,12034,1.0,1.0,0.0,1.0,1.0
339,12039,1.0,1.0,0.0,1.0,1.0
340,12043,1.0,1.0,0.0,1.0,1.0
341,12047,1.0,1.0,0.0,1.0,1.0
342,12112,0.9976615905761719,0.0,0.0,1.0,0.0
343,12120,0.9961585998535156,0.0,0.0,1.0,0.0
344,1213,1.0,1.0,0.0,1.0,1.0
345,12147,1.0,1.0,0.0,1.0,1.0
346,12154,1.0,1.0,0.0,1.0,1.0
347,12160,1.0,1.0,0.0,1.0,1.0
348,12166,1.0,1.0,0.0,1.0,1.0
349,12168,1.0,1.0,0.0,1.0,1.0
350,12170,1.0,1.0,0.0,1.0,1.0
351,12181,1.0,1.0,0.0,1.0,1.0
352,12184,1.0,1.0,0.0,1.0,1.0
353,1219,0.9978141784667969,0.0,0.0,1.0,0.0
